season,round,raceName,date,time,circuitId,circuit,location,country,long,lat
1995,1,Brazilian Grand Prix,1995-03-26,N/A,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
1995,2,Argentine Grand Prix,1995-04-09,N/A,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-58.4593,-34.6943
1995,3,San Marino Grand Prix,1995-04-30,N/A,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,11.7167,44.3439
1995,4,Spanish Grand Prix,1995-05-14,N/A,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
1995,5,Monaco Grand Prix,1995-05-28,N/A,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
1995,6,Canadian Grand Prix,1995-06-11,N/A,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
1995,7,French Grand Prix,1995-07-02,N/A,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,3.16361,46.8642
1995,8,British Grand Prix,1995-07-16,N/A,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
1995,9,German Grand Prix,1995-07-30,N/A,hockenheimring,Hockenheimring,Hockenheim,Germany,8.56583,49.3278
1995,10,Hungarian Grand Prix,1995-08-13,N/A,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
1995,11,Belgian Grand Prix,1995-08-27,N/A,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
1995,12,Italian Grand Prix,1995-09-10,N/A,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
1995,13,Portuguese Grand Prix,1995-09-24,N/A,estoril,Autódromo do Estoril,Estoril,Portugal,-9.39417,38.7506
1995,14,European Grand Prix,1995-10-01,N/A,nurburgring,Nürburgring,Nürburg,Germany,6.9475,50.3356
1995,15,Pacific Grand Prix,1995-10-22,N/A,okayama,Okayama International Circuit,Okayama,Japan,134.221,34.915
1995,16,Japanese Grand Prix,1995-10-29,N/A,suzuka,Suzuka Circuit,Suzuka,Japan,136.541,34.8431
1995,17,Australian Grand Prix,1995-11-12,N/A,adelaide,Adelaide Street Circuit,Adelaide,Australia,138.617,-34.9272
1996,1,Australian Grand Prix,1996-03-10,N/A,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,144.968,-37.8497
1996,2,Brazilian Grand Prix,1996-03-31,N/A,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
1996,3,Argentine Grand Prix,1996-04-07,N/A,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-58.4593,-34.6943
1996,4,European Grand Prix,1996-04-28,N/A,nurburgring,Nürburgring,Nürburg,Germany,6.9475,50.3356
1996,5,San Marino Grand Prix,1996-05-05,N/A,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,11.7167,44.3439
1996,6,Monaco Grand Prix,1996-05-19,N/A,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
1996,7,Spanish Grand Prix,1996-06-02,N/A,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
1996,8,Canadian Grand Prix,1996-06-16,N/A,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
1996,9,French Grand Prix,1996-06-30,N/A,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,3.16361,46.8642
1996,10,British Grand Prix,1996-07-14,N/A,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
1996,11,German Grand Prix,1996-07-28,N/A,hockenheimring,Hockenheimring,Hockenheim,Germany,8.56583,49.3278
1996,12,Hungarian Grand Prix,1996-08-11,N/A,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
1996,13,Belgian Grand Prix,1996-08-25,N/A,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
1996,14,Italian Grand Prix,1996-09-08,N/A,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
1996,15,Portuguese Grand Prix,1996-09-22,N/A,estoril,Autódromo do Estoril,Estoril,Portugal,-9.39417,38.7506
1996,16,Japanese Grand Prix,1996-10-13,N/A,suzuka,Suzuka Circuit,Suzuka,Japan,136.541,34.8431
1997,1,Australian Grand Prix,1997-03-09,N/A,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,144.968,-37.8497
1997,2,Brazilian Grand Prix,1997-03-30,N/A,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
1997,3,Argentine Grand Prix,1997-04-13,N/A,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-58.4593,-34.6943
1997,4,San Marino Grand Prix,1997-04-27,N/A,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,11.7167,44.3439
1997,5,Monaco Grand Prix,1997-05-11,N/A,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
1997,6,Spanish Grand Prix,1997-05-25,N/A,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
1997,7,Canadian Grand Prix,1997-06-15,N/A,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
1997,8,French Grand Prix,1997-06-29,N/A,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,3.16361,46.8642
1997,9,British Grand Prix,1997-07-13,N/A,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
1997,10,German Grand Prix,1997-07-27,N/A,hockenheimring,Hockenheimring,Hockenheim,Germany,8.56583,49.3278
1997,11,Hungarian Grand Prix,1997-08-10,N/A,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
1997,12,Belgian Grand Prix,1997-08-24,N/A,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
1997,13,Italian Grand Prix,1997-09-07,N/A,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
1997,14,Austrian Grand Prix,1997-09-21,N/A,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
1997,15,Luxembourg Grand Prix,1997-09-28,N/A,nurburgring,Nürburgring,Nürburg,Germany,6.9475,50.3356
